Alphagram,Probability,Bag Draw Combo
AEEINRR,198,481140
ADEINNO,199,466560
ADEIORR,200,466560
ADEIOTT,201,466560
AEIIOTT,202,466560
AEILNNO,203,466560
AEILORR,204,466560
AEILOTT,205,466560
AEINNOS,206,466560
AEIORRS,207,466560
AEIOTTU,208,466560
AENORTT,209,466560
EINORRT,210,466560
AADEEOT,211,456192
AAEELOT,212,456192
AAEEORU,213,456192
ADEELNO,214,456192
ADEELOR,215,456192
ADEELOT,216,456192
ADEENOS,217,456192
ADEENOU,218,456192
ADEEORU,219,456192
ADEEOST,220,456192
AEELNOU,221,456192
AEEORSU,222,456192
AEEOSTU,223,456192
DEEIINO,224,456192
DEEILOT,225,456192
DEEINOS,226,456192
DEEIORU,227,456192
DEEIOST,228,456192
DEEIOTU,229,456192
EEIILOR,230,456192
EEIINOS,231,456192
EEIIORS,232,456192
EEIIOST,233,456192
EEIORSU,234,456192
EELNORT,235,456192
EENORTU,236,456192
ADENOOR,237,435456
AELNOOT,238,435456
AELOORT,239,435456
AENOORS,240,435456
AENOOST,241,435456
AEOORST,242,435456
DEINOOR,243,435456
DEINOOT,244,435456
DEIOORT,245,435456
EIINOOR,246,435456
EILNOOT,247,435456
ADEEEIN,248,427680
ADEEEIT,249,427680
AEEEINS,250,427680
AEEEIRS,251,427680
AEEEIST,252,427680
AEEENRT,253,427680
AEENORR,254,427680
AEENOTT,255,427680
AEEORRT,256,427680
AEEORTT,257,427680
EEINNOR,258,427680
EEINNOT,259,427680
EEINOTT,260,427680
EEIORRT,261,427680
EEIORTT,262,427680
AAEGINT,263,419904
AAEGIRT,264,419904
ADEGINT,265,419904
AEGIINR,266,419904
AEGIINT,267,419904
AEGIIRT,268,419904
AEGILRT,269,419904
AEGINRU,270,419904
AEGIRTU,271,419904
AEINRTV,272,419904
AEINRTY,273,419904
AEIOOTT,274,408240
EEINOOS,275,399168
EENOORT,276,399168
AAEEGIN,277,384912
AAEEGIR,278,384912
ACEEINT,279,384912
ACEEIRT,280,384912
ADEEGIN,281,384912
ADEEGIR,282,384912
ADEEGIT,283,384912
AEEFINR,284,384912
AEEFIRT,285,384912
AEEGIIN,286,384912
AEEGIIR,287,384912
AEEGIIT,288,384912
AEEGILR,289,384912
AEEGIRS,290,384912
AEEGIST,291,384912
AEEHINT,292,384912
AEEHIRT,293,384912
AEEINPT,294,384912
AEEINRV,295,384912
AEEINTW,296,384912
AEEINTY,297,384912
AEEIRTW,298,384912
AEEIRTY,299,384912
EEEILNO,300,380160
AABEINO,301,373248
AABEIOT,302,373248
AACEIOR,303,373248
AADEILN,304,373248
AADEILT,305,373248
AADEIST,306,373248
AADENRT,307,373248
AADINOR,308,373248
AADINOT,309,373248
AADIORT,310,373248
AAEGNOR,311,373248
AAEGORT,312,373248
AAEHIOT,313,373248
AAEIILN,314,373248
AAEIILR,315,373248
AAEIINS,316,373248
AAEIIRS,317,373248
AAEILNS,318,373248
AAEILNU,319,373248
AAEILST,320,373248
AAEIMNO,321,373248
AAEIMOR,322,373248
AAEIMOT,323,373248
AAEIOPR,324,373248
AAEIRSU,325,373248
AAEISTU,326,373248
AAELNRT,327,373248
AAIINOT,328,373248
AAIIORT,329,373248
AAILNOR,330,373248
AAILORT,331,373248
AAINORS,332,373248
AAIORST,333,373248
AAIORTU,334,373248
ABDEINO,335,373248
ABDEIOR,336,373248
ABDEIOT,337,373248
ABEIINO,338,373248
ABEILNO,339,373248
ABEILOR,340,373248
ABEILOT,341,373248
ABEINOS,342,373248
ABEIORU,343,373248
ABEIOTU,344,373248
ACDEIOR,345,373248
ACDEIOT,346,373248
ACEILNO,347,373248
ADEFIOR,348,373248
ADEFIOT,349,373248
ADEGIOS,350,373248
ADEGIOU,351,373248
ADEHINO,352,373248
ADEHIOT,353,373248
ADEIILN,354,373248
ADEIILT,355,373248
ADEIINS,356,373248
ADEIINU,357,373248
ADEIIRU,358,373248
ADEIIST,359,373248
ADEIITU,360,373248
ADEILTU,361,373248
ADEIMOR,362,373248
ADEIMOT,363,373248
ADEINOP,364,373248
ADEINOY,365,373248
ADEINSU,366,373248
ADEIOPR,367,373248
ADEIOTV,368,373248
ADELNRT,369,373248
ADIINOR,370,373248
ADIINOT,371,373248
ADIIORT,372,373248
ADILNOT,373,373248
ADINORU,374,373248
ADINOST,375,373248
ADINOTU,376,373248
AEFILNO,377,373248
AEFILOR,378,373248
AEFINOS,379,373248
AEFIORS,380,373248
AEFIOST,381,373248
AEFNORT,382,373248
AEGIILO,383,373248
AEGIOSU,384,373248
AEGLNOR,385,373248
AEGNORU,386,373248
AEGNOTU,387,373248
AEHILNO,388,373248
AEHILOT,389,373248
AEHINOS,390,373248
AEHINOU,391,373248
AEHIORS,392,373248
AEHIORU,393,373248
AEHIOST,394,373248
AEHIOTU,395,373248
AEIILNS,396,373248
AEIILNU,397,373248
AEIIMNO,398,373248
AEIINSU,399,373248
AEIIRSU,400,373248
AEIISTU,401,373248
AEILMOT,402,373248
AEILNOV,403,373248
AEILOPT,404,373248
AEILORY,405,373248
AEILRSU,406,373248
AEIMORU,407,373248
AEINOPU,408,373248
AEINOSW,409,373248
AEIOPRU,410,373248
AEIORSW,411,373248
AEIORSY,412,373248
AEIOSTV,413,373248
AEIOSTW,414,373248
AENORTW,415,373248
AENORTY,416,373248
AIILNOR,417,373248
AIILNOT,418,373248
AIILORT,419,373248
AIINORS,420,373248
AIINOST,421,373248
AIINOTU,422,373248
AIIORST,423,373248
AILNORS,424,373248
AILNORU,425,373248
AILORTU,426,373248
AINORSU,427,373248
AINOSTU,428,373248
EFINORT,429,373248
EGIINOR,430,373248
EGILNOR,431,373248
EGILORT,432,373248
EGINORU,433,373248
EGINOST,434,373248
EGINOTU,435,373248
EIINRST,436,373248
EIINRTU,437,373248
EILNRTU,438,373248
EIMNORT,439,373248
EINORTV,440,373248
EINORTY,441,373248
AAEINNR,442,349920
AAEINNT,443,349920
AAEINRR,444,349920
AAEINTT,445,349920
ADEINNT,446,349920
AEGIORR,447,349920
AEGIOTT,448,349920
AEIINNR,449,349920
AEIINNT,450,349920
AEIINTT,451,349920
AEIIRRT,452,349920
AEIIRTT,453,349920
AEILNNR,454,349920
AEILNNT,455,349920
AEILNTT,456,349920
AEINNTU,457,349920
AEINRRU,458,349920
AEINTTU,459,349920
AEIRRTU,460,349920
AEIRTTU,461,349920
AINNORT,462,349920
AINORRT,463,349920
AINORTT,464,349920
AADEENT,465,342144
AAEELNR,466,342144
AAEELNT,467,342144
AAEENRS,468,342144
AAEENST,469,342144
AAEENTU,470,342144
ABEENOR,471,342144
ABEENOT,472,342144
ADEEFIO,473,342144
ADEEGNO,474,342144
ADEEGOR,475,342144
ADEEIIL,476,342144
ADEEIIS,477,342144
ADEEILU,478,342144
ADEEIOP,479,342144
ADEEISU,480,342144
ADEENTU,481,342144
ADEERTU,482,342144
AEEFNOR,483,342144
AEEFORT,484,342144
AEEGLNO,485,342144
AEEGLOT,486,342144
AEEGNOS,487,342144
AEEGORS,488,342144
AEEHNOR,489,342144
AEEHNOT,490,342144
AEEHORT,491,342144
AEEIILS,492,342144
AEEILSU,493,342144
AEEIMOS,494,342144
AEEIOPS,495,342144
AEELNRU,496,342144
AEELNTU,497,342144
AEELRTU,498,342144
AEEMNOR,499,342144
AEEMNOT,500,342144
AEENOPT,501,342144
AEENORV,502,342144
AEENORW,503,342144
AEENORY,504,342144
AEENOTV,505,342144
AEENRSU,506,342144
AEENSTU,507,342144
AEEORTW,508,342144
BEEINOR,509,342144
BEEIORT,510,342144
CEEINOR,511,342144
CEEINOT,512,342144
DEEGINO,513,342144
DEEGIOR,514,342144
DEEGIOT,515,342144
DEEIIRT,516,342144
EEFINOR,517,342144
EEFIORT,518,342144
EEGIIOR,519,342144
EEGIIOT,520,342144
EEGILNO,521,342144
EEGILOR,522,342144
EEGILOT,523,342144
EEGIORS,524,342144
EEGNORT,525,342144
EEHINOT,526,342144
EEHIORT,527,342144
EEIILNR,528,342144
EEIILNT,529,342144
EEIILRT,530,342144
EEIINRS,531,342144
EEIIRST,532,342144
EEILNRU,533,342144
EEILNTU,534,342144
EEILRTU,535,342144
EEIMNOR,536,342144
EEIMORT,537,342144
EEINOPT,538,342144
EEINORV,539,342144
EEINORW,540,342144
EEINOTV,541,342144
EEINOTY,542,342144
EEINRSU,543,342144
EEIOPRT,544,342144
EEIORTV,545,342144
EEIORTW,546,342144
AADELOR,547,331776
AADELOT,548,331776
AADENOS,549,331776
AADEORS,550,331776
AADEOST,551,331776
AADEOTU,552,331776
AAELNOS,553,331776
AAELNOU,554,331776
AAELOST,555,331776
AAENOSU,556,331776
AAEORSU,557,331776
AAEOSTU,558,331776
ADELNOU,559,331776
ADEOSTU,560,331776
AELNOSU,561,331776
AELORSU,562,331776
AELOSTU,563,331776
DEIILNO,564,331776
DEIILOR,565,331776
DEIILOT,566,331776
DEIIOST,567,331776
DEILORU,568,331776
DEILOST,569,331776
DEINOSU,570,331776
DEIORSU,571,331776
DENORTU,572,331776
EIINOSU,573,331776
ELNORTU,574,331776
ABEINOO,575,326592
ACEINOO,576,326592
ACEIOOT,577,326592
ADINOOR,578,326592
ADINOOT,579,326592
ADIOORT,580,326592
AEFIOOR,581,326592
AEGIOOS,582,326592
AEGNOOT,583,326592
AEIIINT,584,326592
AEIIIRT,585,326592
AEIOOPT,586,326592
AEIOORV,587,326592
AIINOOT,588,326592
AILNOOR,589,326592
AILNOOT,590,326592
AILOORT,591,326592
AINOORS,592,326592
AINOOST,593,326592
AIOORST,594,326592
AIOORTU,595,326592
EGINOOT,596,326592
AAEEINN,597,320760
AAEEITT,598,320760
ADEEITT,599,320760
AEEILNN,600,320760
AEEINNS,601,320760
AEEISTT,602,320760
AEEITTU,603,320760
AEENNRT,604,320760
AAENNOT,605,311040
AAENORR,606,311040
AAENOTT,607,311040
AAEORTT,608,311040
ADENNOR,609,311040
ADENNOT,610,311040
ADEORRT,611,311040
AELNNOR,612,311040
AELNNOT,613,311040
AELNOTT,614,311040
AENNORS,615,311040
AENNORU,616,311040
AENNOST,617,311040
AENORRU,618,311040
AENOTTU,619,311040
DEINOTT,620,311040
EIINNOR,621,311040
EIINNOT,622,311040
EIINOTT,623,311040
EIIORRT,624,311040
EIIORTT,625,311040
EILNNOT,626,311040
EILNOTT,627,311040
EILORRT,628,311040
EINNOTU,629,311040
EINOTTU,630,311040
EIORRTU,631,311040
AAEELOU,632,304128
ADEELOU,633,304128
AEELOSU,634,304128
DEEIIOS,635,304128
DEELNOR,636,304128
DEELORT,637,304128
DEENORU,638,304128
DEENOTU,639,304128
DEEORTU,640,304128
EEIILOS,641,304128
EEILOSU,642,304128
EELNORS,643,304128
EELNORU,644,304128
EELNOST,645,304128
EELORTU,646,304128
EENORSU,647,304128
EEORSTU,648,304128
AEEGOOT,649,299376
AEEIOOP,650,299376
EEGINOO,651,299376
AAAENOR,652,290304
ADELNOO,653,290304
ADELOOR,654,290304
ADELOOT,655,290304
ADENOOS,656,290304
ADEOOST,657,290304
AELOOST,658,290304
AEOOSTU,659,290304
DEILOOR,660,290304
DEILOOT,661,290304
DEINOOS,662,290304
DEINOOU,663,290304
DENOORT,664,290304
EINOOSU,665,290304
ELNOORT,666,290304
ENOORTU,667,290304
AAEEERT,668,285120
ADEEENR,669,285120
ADEEENT,670,285120
ADEEERT,671,285120
ADEEORR,672,285120
ADEEOTT,673,285120
AEEEILS,674,285120
AEEELNR,675,285120
AEEELNT,676,285120
AEEELRT,677,285120
AEEENRS,678,285120
AEEENRU,679,285120
AEEENST,680,285120
AEEERST,681,285120
AEELORR,682,285120
AEELOTT,683,285120
AEENNOS,684,285120
AEEORRU,685,285120
AEEOSTT,686,285120
AEEOTTU,687,285120
DEEEINT,688,285120
DEEEIRT,689,285120
DEEINNO,690,285120
DEEIORR,691,285120
DEEIOTT,692,285120
EEEILNR,693,285120
EEEILNT,694,285120
EEEILRT,695,285120
EEEINRU,696,285120
EEEINST,697,285120
EEEINTU,698,285120
EEILORR,699,285120
EEILOTT,700,285120
EEINNOS,701,285120
EEIORRU,702,285120
EENORRT,703,285120
EENORTT,704,285120
AABEINR,705,279936
AABEINT,706,279936
AABEIRT,707,279936
AACEINT,708,279936
AACEIRT,709,279936
AADEGIN,710,279936
AADEGIR,711,279936
AADEGIT,712,279936
AAEFINR,713,279936
AAEFINT,714,279936
AAEGILN,715,279936
AAEGILT,716,279936
AAEGINS,717,279936
AAEGIRS,718,279936
AAEGIRU,719,279936
AAEHINT,720,279936
AAEIMNR,721,279936
AAEINPR,722,279936
AAEINRV,723,279936
AAEINRW,724,279936
AAEINTV,725,279936
AAEINTW,726,279936
AAGINOR,727,279936
AAGINOT,728,279936
AAGIORT,729,279936
AAILNRT,730,279936
AAINRTU,731,279936
ABDEINT,732,279936
ABEGIOR,733,279936
ABEGIOT,734,279936
ABEIINR,735,279936
ABEIIRT,736,279936
ABEILNR,737,279936
ABEILNT,738,279936
ABEINRS,739,279936
ABEINRU,740,279936
ABEINTU,741,279936
ABEIRTU,742,279936
ACDEINT,743,279936
ACDEIRT,744,279936
ACEGIOT,745,279936
ACEIINR,746,279936
ACEIINT,747,279936
ACEIIRT,748,279936
ACEILNT,749,279936
ACEINRU,750,279936
ACEIRTU,751,279936
ADEFIRT,752,279936
ADEGIIN,753,279936
ADEGIIR,754,279936
ADEGIIT,755,279936
ADEGINU,756,279936
ADEGITU,757,279936
ADEHINT,758,279936
ADEINRY,759,279936
ADEINTW,760,279936
ADEINTY,761,279936
ADEIRTW,762,279936
ADIINRT,763,279936
ADILNRT,764,279936
AEFGIOR,765,279936
AEFIINR,766,279936
AEFIINT,767,279936
AEFIIRT,768,279936
AEFILNR,769,279936
AEFILRT,770,279936
AEFINRU,771,279936
AEFINTU,772,279936
AEFIRTU,773,279936
AEGHINO,774,279936
AEGIILN,775,279936
AEGIILR,776,279936
AEGIILT,777,279936
AEGIINS,778,279936
AEGIIRS,779,279936
AEGIIST,780,279936
AEGILRU,781,279936
AEGIMNO,782,279936
AEGIMOR,783,279936
AEGINOP,784,279936
AEGINOY,785,279936
AEGIOPR,786,279936
AEGIOPT,787,279936
AEGIORV,788,279936
AEGIORW,789,279936
AEGIOTV,790,279936
AEGIRSU,791,279936
AEHIINR,792,279936
AEHIINT,793,279936
AEHIIRT,794,279936
AEHILNT,795,279936
AEHINRU,796,279936
AEHINTU,797,279936
AEHIRTU,798,279936
AEIIMNR,799,279936
AEIINPR,800,279936
AEIINPT,801,279936
AEIINRV,802,279936
AEIINRY,803,279936
AEIINTV,804,279936
AEIIPRT,805,279936
AEIIRTV,806,279936
AEIIRTW,807,279936
AEIIRTY,808,279936
AEIJORT,809,279936
AEIKORT,810,279936
AEILLNO,811,279936
AEILLOR,812,279936
AEILLOT,813,279936
AEILNTW,814,279936
AEILNTY,815,279936
AEILRTV,816,279936
AEIMNRU,817,279936
AEIMNTU,818,279936
AEINOQR,819,279936
AEINOQT,820,279936
AEINORX,821,279936
AEINORZ,822,279936
AEINOTX,823,279936
AEINOTZ,824,279936
AEINPRU,825,279936
AEINRSW,826,279936
AEINRSY,827,279936
AEINSTY,828,279936
AEINTUY,829,279936
AEIORSS,830,279936
AEIORTX,831,279936
AEIORTZ,832,279936
AEIPRTU,833,279936
AEIRSTY,834,279936
AEIRTUV,835,279936
AFINORT,836,279936
AGIINOR,837,279936
AGIINOT,838,279936
AGIIORT,839,279936
AGILORT,840,279936
AGINORU,841,279936
AGIORTU,842,279936
AIILNRT,843,279936
AIINRST,844,279936
AIINRTU,845,279936
AILNRTU,846,279936
AINORTV,847,279936
AINORTY,848,279936
DEGINRT,849,279936
AENNOOR,850,272160
AENNOOT,851,272160
AENOORR,852,272160
AEOORRT,853,272160
AEOORTT,854,272160
EINNOOR,855,272160
EINNOOT,856,272160
EINOORR,857,272160
EIOORTT,858,272160
DEENOOT,859,266112
DEEOORT,860,266112
EELNOOR,861,266112
EELOORT,862,266112
EENOORS,863,266112
EENOORU,864,266112
EENOOST,865,266112
EENOOTU,866,266112
EEOORST,867,266112
EEOORTU,868,266112
AEGINTT,869,262440
AEGIRRT,870,262440
AEGIRTT,871,262440
AACEEIN,872,256608
AACEEIR,873,256608
AACEEIT,874,256608
AAEEFIT,875,256608
AAEEGIL,876,256608
AAEEGIS,877,256608
AAEEGNR,878,256608
AAEEGNT,879,256608
AAEEGRT,880,256608
AAEEHIR,881,256608
AAEEIMR,882,256608
AAEEIMT,883,256608
AAEEINP,884,256608
AAEEIRW,885,256608
ABDEEIN,886,256608
ABDEEIT,887,256608
ABEEILN,888,256608
ABEEILR,889,256608
ABEEILT,890,256608
ABEEINU,891,256608
ABEEIRS,892,256608
ABEEITU,893,256608
ABEENRT,894,256608
ACDEEIN,895,256608
ACDEEIT,896,256608
ACEEILN,897,256608
ACEEILR,898,256608
ACEEILT,899,256608
ACEEINS,900,256608
ACEEIRS,901,256608
ACEEIRU,902,256608
ACEEIST,903,256608
ADEEFIN,904,256608
ADEEFIT,905,256608
ADEEGIS,906,256608
ADEEGRT,907,256608
ADEEHIN,908,256608
ADEEHIT,909,256608
ADEEIMR,910,256608
ADEEINP,911,256608
ADEEINV,912,256608
ADEEINW,913,256608
ADEEIPR,914,256608
ADEEIPT,915,256608
ADEEIRV,916,256608
ADEEIRY,917,256608
ADEEITW,918,256608
AEEFIIN,919,256608
AEEFIIR,920,256608
AEEFILN,921,256608
AEEFILT,922,256608
AEEFINS,923,256608
AEEFIST,924,256608
AEEFNRT,925,256608
AEEGIIL,926,256608
AEEGIIS,927,256608
AEEGILS,928,256608
AEEGILU,929,256608
AEEGISU,930,256608
AEEGLRT,931,256608
AEEHILN,932,256608
AEEHILR,933,256608
AEEHILT,934,256608
AEEHINS,935,256608
AEEHIRS,936,256608
AEEIIMR,937,256608
AEEIIMT,938,256608
AEEIITV,939,256608
AEEILLO,940,256608
AEEILMN,941,256608
AEEILMT,942,256608
AEEILNV,943,256608
AEEILPR,944,256608
AEEILRW,945,256608
AEEILRY,946,256608
AEEIMNU,947,256608
AEEINPS,948,256608
AEEINSV,949,256608
AEEINSW,950,256608
AEEINUV,951,256608
AEEIOSS,952,256608
AEEIPST,953,256608
AEEIRSV,954,256608
AEEIRSY,955,256608
AEEISTV,956,256608
AEEISTW,957,256608
AEEISTY,958,256608
AEEITUV,959,256608
AEENPRT,960,256608
AEENRTW,961,256608
AEENRTY,962,256608
DEEGINT,963,256608
DEEGIRT,964,256608
EEGIINR,965,256608
EEGIINT,966,256608
EEGIIRT,967,256608
EEGILRT,968,256608
EEGINRU,969,256608
EEGINST,970,256608
EEGINTU,971,256608
EEGIRST,972,256608
EEIMNRT,973,256608
EEINRTV,974,256608
EEINRTW,975,256608
EEINRTY,976,256608
DEEENOR,977,253440
DEEEORT,978,253440
EEELNOR,979,253440
EEELORT,980,253440
EEENORS,981,253440
EEENOST,982,253440
EEEORST,983,253440
AABDEIO,984,248832
AABEIOU,985,248832
AABENOR,986,248832
AABENOT,987,248832
AACEILO,988,248832
AACENOR,989,248832
AACENOT,990,248832
AACEORT,991,248832
AADEFIO,992,248832
AADEHIO,993,248832
AADEIIL,994,248832
AADEILU,995,248832
AADEISU,996,248832
AADENRS,997,248832
AADENTU,998,248832
AADILNO,999,248832
AADILOR,1000,248832
AADILOT,1001,248832
AADINOS,1002,248832
AADIORS,1003,248832
AADIOTU,1004,248832
AAEGLNO,1005,248832
AAEGLOT,1006,248832
AAEGNOS,1007,248832
AAEGNOU,1008,248832
AAEGOST,1009,248832
AAEHNOR,1010,248832
AAEHORT,1011,248832
AAEILOP,1012,248832
AAEILSU,1013,248832
AAELNRU,1014,248832
AAELNTU,1015,248832
AAELRTU,1016,248832
AAEMNOT,1017,248832
AAEMORT,1018,248832
AAENOPR,1019,248832
AAENRSU,1020,248832
AAENSTU,1021,248832
AAEOPRT,1022,248832
AAEORTV,1023,248832
AAEORTY,1024,248832
AAIINOS,1025,248832
AAIIOST,1026,248832
AAILNOS,1027,248832
AAILOTU,1028,248832
AAINOSU,1029,248832
AAIOSTU,1030,248832
AALNORT,1031,248832
AANORTU,1032,248832
ABDEILO,1033,248832
ABDEIOS,1034,248832
ABDEIOU,1035,248832
ABELNOR,1036,248832
ABENOTU,1037,248832
ABEORTU,1038,248832
ACDEILO,1039,248832
ACDEIOU,1040,248832
ACEILOU,1041,248832
ACEIOSU,1042,248832
ACENORU,1043,248832
ACENOTU,1044,248832
ADEFILO,1045,248832
ADEFIOS,1046,248832
ADEFNOR,1047,248832
ADEFORT,1048,248832
ADEGLOR,1049,248832
ADEGNOU,1050,248832
ADEGORU,1051,248832
ADEGOTU,1052,248832
ADEHILO,1053,248832
ADEHIOS,1054,248832
ADEHNOR,1055,248832
ADEHNOT,1056,248832
ADEHORT,1057,248832
ADEILOV,1058,248832
ADEILOY,1059,248832
ADEIMOS,1060,248832
ADEIOSV,1061,248832
ADEIOSW,1062,248832
ADELRTU,1063,248832
ADEMNOT,1064,248832
ADEMORT,1065,248832
ADENORV,1066,248832
ADENORW,1067,248832
ADENORY,1068,248832
ADENOTW,1069,248832
ADENOTY,1070,248832
ADEORTV,1071,248832
ADEORTW,1072,248832
ADEORTY,1073,248832
ADERSTU,1074,248832
ADIILOR,1075,248832
ADIILOT,1076,248832
ADIINOS,1077,248832
ADIINOU,1078,248832
ADIIORS,1079,248832
ADIIOST,1080,248832
ADIIOTU,1081,248832
ADILNOU,1082,248832
ADILORS,1083,248832
ADILORU,1084,248832
ADILOST,1085,248832
ADINOSU,1086,248832
ADNORST,1087,248832
AEFILOS,1088,248832
AEFLNOR,1089,248832
AEFLNOT,1090,248832
AEFNORS,1091,248832
AEFNORU,1092,248832
AEFNOST,1093,248832
AEFORST,1094,248832
AEFORTU,1095,248832
AEGLNOU,1096,248832
AEGLORU,1097,248832
AEGLOTU,1098,248832
AEGNOSU,1099,248832
AEHIILO,1100,248832
AEHILOS,1101,248832
AEHNOST,1102,248832
AEHNOTU,1103,248832
AEIILMO,1104,248832
AEIILSU,1105,248832
AEIIMOS,1106,248832
AEILMOS,1107,248832
AEILOPU,1108,248832
AEILOSV,1109,248832
AEILOSW,1110,248832
AEILOSY,1111,248832
AEIMOSU,1112,248832
AELMORT,1113,248832
AELNOPR,1114,248832
AELNORY,1115,248832
AELNOTW,1116,248832
AELNRSU,1117,248832
AELORTW,1118,248832
AEMORTU,1119,248832
AENORSV,1120,248832
AENORSW,1121,248832
AENORSY,1122,248832
AENORUV,1123,248832
AENORUY,1124,248832
AENOSTW,1125,248832
AENOSTY,1126,248832
AENOTUY,1127,248832
AEOPRTU,1128,248832
AEORSTV,1129,248832
AEORSTW,1130,248832
AEORSTY,1131,248832
AEORTUY,1132,248832
AIILORS,1133,248832
AIILORU,1134,248832
AIILOST,1135,248832
AILNOSU,1136,248832
ALNORTU,1137,248832
BDEINOT,1138,248832
BEIINOR,1139,248832
BEIIORT,1140,248832
BEILNOR,1141,248832
BEILNOT,1142,248832
BEINORS,1143,248832
BEINORU,1144,248832
